state/district,TOTAL 2012,Republican % 2012,REPUBLICAN 2012,Democrat % 2012,DEMOCRAT 2012,OTHER 2012,Comp. 2012,TOTAL 2016,Republican % 2016,REPUBLICAN 2016,Democrat % 2010,DEMOCRAT 2016,OTHER 2016,Comp. 2016,TOTAL 2020,Republican % 2020,REPUBLICAN 2020,Democrat % 2020,DEMOCRAT 2020,OTHER 2020,Comp. 2020,Min(Comp),Max(Comp),StdDev(Comp),Mean(Comp),Prediction(538) Republican,Prediction(538) Democrat,Prediction(538) Other,Predicted_Comp
FLORIDA 18,330665,0.497037787,164353,0.502795881,166257,55,0.502795881,375918,0.535989232,201488,0.430726914,161918,12512,0.535989232,449720,0.563208218,253286,0.415089389,186674,9760,0.563208218,0.502795881,0.563208218,0.024703401,0.533997777,0.93,0.065,0.005,0.93
FLORIDA 19,306216,0.619931682,189833,0.358394075,109746,6637,0.619931682,363166,0.658720805,239225,0.340923985,123812,129,0.658720805,444589,0.61279069,272440,0.387202562,172146,3,0.61279069,0.61279069,0.658720805,0.020180203,0.630481059,0.99,0.01,0,0.99
FLORIDA 2,333718,0.526959888,175856,0.4723569,157634,228,0.526959888,343362,0.673234079,231163,0.29939539,102801,9398,0.673234079,311999,0.978647367,305337,0,0,6662,0.978647367,0.526959888,0.978647367,0.188176925,0.726280445,0.99,0,0.01,0.99
FLORIDA 20,244285,0,0,0.879001985,214727,29558,0.879001985,277560,0.196879954,54646,0.803120046,222914,0,0.803120046,322409,0.213232261,68748,0.786767739,253661,0,0.786767739,0.786767739,0.879001985,0.040183776,0.822963257,0.01,0.99,0,0.99
FLORIDA 21,284400,0,0,0.777999297,221263,63137,0.777999297,335861,0.351448963,118038,0.627062981,210606,7217,0.627062981,403093,0.391006542,157612,0.590248404,237925,7556,0.590248404,0.590248404,0.777999297,0.081231823,0.665103561,0.005,0.99,0.005,0.99
FLORIDA 22,313071,0.453730943,142050,0.546269057,171021,0,0.546269057,337850,0.410646737,138737,0.589353263,199113,0,0.589353263,402317,0.413984495,166553,0.586015505,235764,0,0.586015505,0.546269057,0.589353263,0.019570867,0.573879275,0.01,0.99,0,0.99
FLORIDA 23,275430,0.356155829,98096,0.632483753,174205,3129,0.632483753,323120,0.404858876,130818,0.567049393,183225,9077,0.567049393,380196,0.417873939,158874,0.581907753,221239,83,0.581907753,0.567049393,0.632483753,0.028008645,0.593813633,0.01,0.99,0,0.99
FLORIDA 24,1,0,0,1,1,0,1,1,0,0,1,1,0,1,289638,0.20399257,59084,0.755512053,218825,11729,0.755512053,0.755512053,1,0.115252724,0.918504018,0.005,0.99,0.005,0.99
FLORIDA 25,200229,0.756463849,151466,0,0,48763,0.756463849,253240,0.623602117,157921,0.376397883,95319,0,0.623602117,1,1,1,0,0,0,1,0.623602117,1,0.155862284,0.793355322,1,0,0,1
FLORIDA 26,252957,0.430191693,108820,0.536431093,135694,8443,0.536431093,280542,0.529500039,148547,0.411678109,115493,16502,0.529500039,342630,0.51724309,177223,0.48275691,165407,0,0.51724309,0.51724309,0.536431093,0.007933416,0.527724741,0.18,0.82,0,0.82
FLORIDA 27,230171,0.601674407,138488,0.36937755,85020,6663,0.601674407,287677,0.548938567,157917,0.451061433,129760,0,0.548938567,342975,0.513568044,176141,0.486210365,166758,76,0.513568044,0.513568044,0.601674407,0.036201403,0.554727006,0.19,0.81,0,0.81
FLORIDA 3,315669,0.64729511,204331,0.324605837,102468,8870,0.64729511,342700,0.565634666,193843,0.397834841,136338,12519,0.565634666,390401,0.571399663,223075,0.428600337,167326,0,0.571399663,0.565634666,0.64729511,0.037210784,0.59477648,0.98,0.02,0,0.98
FLORIDA 4,315470,0.760731607,239988,0,0,75482,0.760731607,409662,0.701820037,287509,0.276051965,113088,9065,0.701820037,504940,0.610957738,308497,0.389002654,196423,20,0.610957738,0.610957738,0.760731607,0.061606946,0.691169794,0.99,0.01,0,0.99
FLORIDA 5,269153,0.262675876,70700,0.707671845,190472,7981,0.707671845,302874,0.357656979,108325,0.642343021,194549,0,0.642343021,336973,0.348722301,117510,0.651277699,219463,0,0.651277699,0.642343021,0.707671845,0.028921317,0.667097521,0.01,0.99,0,0.99
FLORIDA 6,342451,0.572233692,195962,0.427766308,146489,0,0.572233692,364570,0.585673533,213519,0.414326467,151051,0,0.585673533,437856,0.606119363,265393,0.393519787,172305,158,0.606119363,0.572233692,0.606119363,0.013931978,0.588008863,0.99,0.01,0,0.99
FLORIDA 7,316010,0.587063701,185518,0.412895162,130479,13,0.587063701,353655,0.485170576,171583,0.514736113,182039,33,0.514736113,406449,0.432403573,175750,0.553442129,224946,5753,0.553442129,0.514736113,0.587063701,0.029551924,0.551747314,0.025,0.97,0.005,0.97
FLORIDA 8,348909,0.588783895,205432,0.375083474,130870,12607,0.588783895,390561,0.631099879,246483,0.32549845,127127,16951,0.631099879,459788,0.613528409,282093,0.386471591,177695,0,0.613528409,0.588783895,0.631099879,0.017357964,0.611137394,0.99,0.01,0,0.99
FLORIDA 9,263747,0.374813742,98856,0.625186258,164891,0,0.625186258,339761,0.425151798,144450,0.574848202,195311,0,0.574848202,429638,0.439646866,188889,0.560294946,240724,25,0.560294946,0.560294946,0.625186258,0.027802077,0.586776469,0.03,0.97,0,0.97
GEORGIA 1,249580,0.629782034,157181,0.370217966,92399,0,0.629782034,211112,0.995883702,210243,0,0,869,0.995883702,324695,0.5834922,189457,0.4165078,135238,0,0.5834922,0.5834922,0.995883702,0.184463164,0.736385979,0.99,0.01,0,0.99
GEORGIA 10,211065,1,211065,0,0,0,1,244821,0.99552326,243725,0,0,1096,0.99552326,378446,0.623100786,235810,0.376899214,142636,0,0.623100786,0.623100786,1,0.176626271,0.872874682,0.99,0.01,0,0.99
GEORGIA 11,287321,0.685532906,196968,0.314467094,90353,0,0.685532906,323318,0.674057739,217935,0.325942261,105383,0,0.674057739,405882,0.60426183,245259,0.39573817,160623,0,0.60426183,0.60426183,0.685532906,0.035913687,0.654617491,0.99,0.01,0,0.99
GEORGIA 12,259121,0.462999911,119973,0.537000089,139148,0,0.537000089,258912,0.616008528,159492,0.383991472,99420,0,0.616008528,310099,0.583807107,181038,0.416192893,129061,0,0.583807107,0.537000089,0.616008528,0.032438252,0.578938575,0.99,0.005,0.005,0.99
GEORGIA 13,281538,0.282555108,79550,0.717444892,201988,0,0.717444892,252833,0,0,1,252833,0,1,360582,0.225956925,81476,0.773873904,279045,61,0.773873904,0.717444892,1,0.122090419,0.830439599,0.005,0.99,0.005,0.99
GEORGIA 14,219192,0.729711851,159947,0.270288149,59245,0,0.729711851,216743,1,216743,0,0,0,1,307625,0.747101178,229827,0.252898822,77798,0,0.747101178,0.729711851,1,0.123520527,0.825604343,0.99,0.01,0,0.99
GEORGIA 2,255161,0.362163497,92410,0.637836503,162751,0,0.637836503,242599,0.387701516,94056,0.612298484,148543,0,0.612298484,273034,0.408813554,111620,0.591124182,161397,17,0.591124182,0.591124182,0.637836503,0.019097942,0.613753057,0.03,0.97,0,0.97
GEORGIA 3,232380,1,232380,0,0,0,1,303187,0.68346598,207218,0.31653402,95969,0,0.68346598,371318,0.650455943,241526,0.349544057,129792,0,0.650455943,0.650455943,1,0.157573438,0.777973974,0.99,0.01,0,0.99
GEORGIA 4,283902,0.264320082,75041,0.735679918,208861,0,0.735679918,290739,0.242805403,70593,0.757194597,220146,0,0.757194597,348299,0.199233991,69393,0.800766009,278906,0,0.800766009,0.735679918,0.800766009,0.027075098,0.764546841,0.01,0.99,0,0.99
GEORGIA 5,277665,0.156069364,43335,0.843930636,234330,0,0.843930636,300549,0.15560857,46768,0.84439143,253781,0,0.84439143,354503,0.148506501,52646,0.851493499,301857,0,0.851493499,0.843930636,0.851493499,0.003461673,0.846605189,0.01,0.99,0,0.99
GEORGIA 6,294034,0.645058055,189669,0.354941945,104365,0,0.645058055,326005,0.616824895,201088,0.383175105,124917,0,0.616824895,397104,0.454110258,180329,0.545889742,216775,0,0.545889742,0.545889742,0.645058055,0.041717651,0.602590897,0.26,0.74,0,0.74
GEORGIA 7,252066,0.621618941,156689,0.378381059,95377,0,0.621618941,288301,0.603816844,174081,0.396183156,114220,0,0.603816844,371464,0.486087481,180564,0.513912519,190900,0,0.513912519,0.513912519,0.621618941,0.047140895,0.579782768,0.57,0.43,0,0.57
GEORGIA 8,197789,1,197789,0,0,0,1,257208,0.676429193,173983,0.323570807,83225,0,0.676429193,308013,0.645105888,198701,0.354738274,109264,48,0.645105888,0.645105888,1,0.160426185,0.773845027,0.99,0.005,0.005,0.99
GEORGIA 9,252153,0.761843008,192101,0.238156992,60052,0,0.761843008,256535,1,256535,0,0,0,1,372547,0.785806891,292750,0.214193109,79797,0,0.785806891,0.761843008,1,0.107067844,0.849216633,0.99,0.01,0,0.99
HAWAII 1,217876,0.444399567,96824,0.534730764,116505,4547,0.534730764,213531,0.215228702,45958,0.681011188,145417,22156,0.681011188,283408,0.25118557,71188,0.646576667,183245,28975,0.646576667,0.534730764,0.681011188,0.062443934,0.620772873,0.01,0.99,0,0.99
HAWAII 2,219283,0.185636825,40707,0.768427101,168503,10073,0.768427101,224133,0.176984201,39668,0.762261693,170848,13617,0.762261693,296376,0.28351486,84027,0.578714201,171517,40832,0.578714201,0.578714201,0.768427101,0.088014316,0.703134332,0.005,0.99,0.005,0.99
IDAHO 1,316724,0.62957654,199402,0.307681136,97450,19872,0.62957654,355357,0.681714445,242252,0.318136409,113052,53,0.681714445,458576,0.67761069,310736,0.286495586,131380,16460,0.67761069,0.62957654,0.681714445,0.023670144,0.662967225,0.99,0.005,0.005,0.99
IDAHO 2,318494,0.651227339,207412,0.348034814,110847,235,0.651227339,326237,0.629272584,205292,0.294080684,95940,25005,0.629272584,391333,0.640551653,250669,0.317251548,124151,16513,0.640551653,0.629272584,0.651227339,0.008964119,0.640350525,0.99,0.005,0.005,0.99
ILLINOIS 1,320844,0.261775193,83989,0.73822169,236854,1,0.73822169,315862,0.259027677,81817,0.740946996,234037,8,0.740946996,325123,0.261522562,85027,0.738006847,239943,153,0.738006847,0.738006847,0.740946996,0.001338238,0.739058511,0.005,0.99,0.005,0.99
ILLINOIS 10,264454,0.493711572,130564,0.506288428,133890,0,0.506288428,285996,0.473905229,135535,0.52600386,150435,26,0.52600386,316874,0.361159325,114442,0.638746,202402,30,0.638746,0.506288428,0.638746,0.058351899,0.557012763,0.01,0.99,0,0.99
ILLINOIS 11,254295,0.41427476,105348,0.585650524,148928,19,0.585650524,275573,0.395521332,108995,0.604478668,166578,0,0.604478668,307377,0.366998832,112807,0.632958875,194557,13,0.632958875,0.585650524,0.632958875,0.019447083,0.607696022,0.01,0.99,0,0.99
ILLINOIS 12,303949,0.427380909,129902,0.516534024,157000,17047,0.516534024,313002,0.543050843,169976,0.39694954,124246,18780,0.543050843,322416,0.604309339,194839,0.395690661,127577,0,0.604309339,0.516534024,0.604309339,0.036757843,0.554631402,0.99,0.01,0,0.99
ILLINOIS 13,294385,0.465492467,137034,0.462088761,136032,21319,0.465492467,314394,0.596649427,187583,0.403350573,126811,0,0.596649427,333021,0.544629318,181373,0.455370682,151648,0,0.544629318,0.465492467,0.596649427,0.053924722,0.535590404,0.63,0.37,0,0.63
ILLINOIS 14,301954,0.588178994,177603,0.411821006,124351,0,0.588178994,338097,0.59304874,200508,0.40695126,137589,0,0.59304874,401052,0.493290147,197835,0.506689906,203209,8,0.506689906,0.506689906,0.59304874,0.039612055,0.562639213,0.13,0.87,0,0.87
ILLINOIS 15,299937,0.686060739,205775,0.313939261,94162,0,0.686060739,274554,1,274554,0,0,0,1,333506,0.734460549,244947,0.265539451,88559,0,0.734460549,0.686060739,1,0.13800628,0.80684043,0.99,0.005,0.005,0.99
ILLINOIS 16,294090,0.618140705,181789,0.381859295,112301,0,0.618140705,259853,0.999495869,259722,0,0,131,0.999495869,338159,0.647148235,218839,0.352831065,119313,7,0.647148235,0.618140705,0.999495869,0.173340401,0.75492827,0.99,0.01,0,0.99
ILLINOIS 17,288161,0.467179806,134623,0.532754259,153519,19,0.532754259,287068,0.396919894,113943,0.603080106,173125,0,0.603080106,299895,0.479711232,143863,0.520218743,156011,21,0.520218743,0.520218743,0.603080106,0.036467443,0.552017703,0.04,0.96,0,0.96
ILLINOIS 18,329631,0.741638377,244467,0.258361623,85164,0,0.741638377,347283,0.721331018,250506,0.278648825,96770,7,0.721331018,371879,0.70409999,261840,0.29590001,110039,0,0.70409999,0.70409999,0.741638377,0.015342127,0.722356462,0.99,0.01,0,0.99
ILLINOIS 2,297712,0.232153894,69115,0.632500537,188303,40294,0.632500537,294522,0.201923795,59471,0.798076205,235051,0,0.798076205,298038,0.21185889,63142,0.78814111,234896,0,0.78814111,0.632500537,0.798076205,0.075819959,0.739572617,0.01,0.99,0,0.99
ILLINOIS 3,246398,0.31515272,77653,0.68481887,168738,7,0.68481887,225411,0,0,0.999596293,225320,91,0.999596293,306848,0.436212718,133851,0.563787282,172997,0,0.563787282,0.563787282,0.999596293,0.183685409,0.749400815,0.02,0.98,0,0.98
ILLINOIS 4,160509,0.169953087,27279,0.830021993,133226,4,0.830021993,171297,0,0,1,171297,0,1,222737,0.159461607,35518,0.840538393,187219,0,0.840538393,0.830021993,1,0.077768261,0.890186795,0.01,0.99,0,0.99
ILLINOIS 5,270377,0.285856415,77289,0.657337717,177729,15359,0.657337717,313724,0.27483393,86222,0.678437098,212842,14660,0.678437098,361271,0.266282098,96200,0.707670973,255661,9410,0.707670973,0.657337717,0.707670973,0.020637721,0.681148596,0.005,0.99,0.005,0.99
ILLINOIS 6,326129,0.592213511,193138,0.407786489,132991,0,0.592213511,352146,0.59224015,208555,0.40775985,143591,0,0.59224015,404747,0.454335671,183891,0.52817439,213777,7079,0.52817439,0.52817439,0.59224015,0.030194612,0.570876017,0.125,0.87,0.005,0.87
ILLINOIS 7,286435,0.109853894,31466,0.846401452,242439,12530,0.846401452,297466,0.157604567,46882,0.842395433,250584,0,0.842395433,310128,0.133461023,41390,0.804129263,249383,19355,0.804129263,0.804129263,0.846401452,0.019053393,0.830975383,0.005,0.99,0.005,0.99
ILLINOIS 8,225066,0.452578355,101860,0.547421645,123206,0,0.547421645,248571,0.416850719,103617,0.583149281,144954,0,0.583149281,254578,0,0,0.731606816,186251,68327,0.731606816,0.547421645,0.731606816,0.079749804,0.620725914,0,0.99,0.01,0.99
ILLINOIS 9,293807,0.33669722,98924,0.66325513,194869,14,0.66325513,326948,0.335068574,109550,0.664650036,217306,92,0.664650036,369170,0.290177967,107125,0.709822033,262045,0,0.709822033,0.66325513,0.709822033,0.021630564,0.6792424,0.01,0.99,0,0.99
INDIANA 1,279034,0.327168015,91291,0.672831985,187743,0,0.672831985,254583,0,0,0.81511727,207515,47068,0.81511727,326948,0.404489399,132247,0.566389762,185180,9521,0.566389762,0.566389762,0.81511727,0.101893421,0.684779672,0.005,0.99,0.005,0.99
INDIANA 2,273475,0.490110613,134033,0.475776579,130113,9329,0.490110613,277357,0.592575634,164355,0.369202869,102401,10601,0.592575634,298568,0.61493864,183601,0.38506136,114967,0,0.61493864,0.490110613,0.61493864,0.054345828,0.565874962,0.97,0.03,0,0.97
INDIANA 3,280235,0.670408764,187872,0.329591236,92363,0,0.670408764,287247,0.701124816,201396,0.229847483,66023,19828,0.701124816,325751,0.678398531,220989,0.321601469,104762,0,0.678398531,0.670408764,0.701124816,0.013011944,0.683310704,0.99,0.01,0,0.99
INDIANA 4,272268,0.619566016,168688,0.341630305,93015,10565,0.619566016,299434,0.645925312,193412,0.30476165,91256,14766,0.645925312,338515,0.666236356,225531,0.333763644,112984,0,0.666236356,0.619566016,0.666236356,0.019106345,0.643909228,0.99,0.01,0,0.99
INDIANA 5,333359,0.583665058,194570,0.376012047,125347,13442,0.583665058,361135,0.614609495,221957,0.342943774,123849,15329,0.614609495,416226,0.500237852,208212,0.459428291,191226,16788,0.500237852,0.500237852,0.614609495,0.048302898,0.566170801,0.495,0.495,0.01,0.495
INDIANA 6,275253,0.590776486,162613,0.351233229,96678,15962,0.590776486,296385,0.691398013,204920,0.267000692,79135,12330,0.691398013,328213,0.686502363,225319,0.277572796,91103,11791,0.686502363,0.590776486,0.691398013,0.046322664,0.65622562,0.99,0.005,0.005,0.99
INDIANA 7,257950,0.371498352,95828,0.628501648,162122,0,0.628501648,264670,0.356882155,94456,0.599761968,158739,11475,0.599761968,282568,0.375647632,106146,0.624352368,176422,0,0.624352368,0.599761968,0.628501648,0.012683644,0.617538661,0.01,0.99,0,0.99
INDIANA 8,283992,0.533581932,151533,0.430733964,122325,10134,0.533581932,294713,0.636897592,187702,0.316769196,93356,13655,0.636897592,320617,0.669468556,214643,0.298458909,95691,10283,0.669468556,0.533581932,0.669468556,0.057927318,0.613316027,0.99,0.005,0.005,0.99
INDIANA 9,298180,0.554470454,165332,0.445529546,132848,0,0.554470454,322843,0.54141177,174791,0.404614627,130627,17425,0.54141177,359038,0.61847771,222057,0.341373337,122566,14415,0.61847771,0.54141177,0.61847771,0.033675935,0.571453311,0.99,0.005,0.005,0.99
IOWA 1,390849,0.415672037,162465,0.56907399,222422,5962,0.56907399,384977,0.537442497,206903,0.460814542,177403,671,0.537442497,423971,0.500241762,212088,0.474907482,201347,10536,0.500241762,0.500241762,0.56907399,0.028131283,0.535586083,0.13,0.87,0,0.87
IOWA 2,381275,0.424829847,161977,0.555669792,211863,7435,0.555669792,370032,0.461941129,170933,0.536631967,198571,528,0.536631967,413989,0.475771095,196964,0.475756602,196958,20067,0.475771095,0.475771095,0.555669792,0.034075547,0.522690951,0.12,0.88,0,0.88
IOWA 3,386842,0.522177013,202000,0.435919574,168632,16210,0.522177013,390287,0.534473349,208598,0.397148765,155002,26687,0.534473349,460813,0.462220033,212997,0.475691875,219205,28611,0.475691875,0.475691875,0.534473349,0.025314312,0.510780746,0.155,0.84,0.005,0.84
IOWA 4,377883,0.529431067,200063,0.448472146,169470,8350,0.529431067,370259,0.612325426,226719,0.38619723,142993,547,0.612325426,401495,0.591212842,237369,0.360554926,144761,19365,0.591212842,0.529431067,0.612325426,0.035172912,0.577656445,0.98,0.02,0,0.98
KANSAS 1,211337,1,211337,0,0,0,1,257971,0.65895779,169992,0,0,87979,0.65895779,292622,0.711597214,208229,0.288402786,84393,0,0.711597214,0.65895779,1,0.149909923,0.790185001,0.99,0.01,0,0.99
KANSAS 2,293718,0.570148918,167463,0.387225162,113735,12520,0.570148918,297401,0.609372531,181228,0.325620963,96840,19333,0.609372531,336315,0.551459197,185464,0.406315508,136650,14201,0.551459197,0.551459197,0.609372531,0.024133314,0.576993549,0.91,0.085,0.005,0.91
KANSAS 3,293762,0.684523526,201087,0,0,92675,0.684523526,343113,0.513014663,176022,0.405988698,139300,27791,0.513014663,410418,0.43558762,178773,0.536158258,220049,11596,0.536158258,0.513014663,0.684523526,0.075984771,0.577898816,0.015,0.98,0.005,0.98
KANSAS 4,258922,0.622171928,161094,0.315809394,81770,16058,0.622171928,275251,0.606711692,166998,0.296075219,81495,26758,0.606711692,319598,0.636524634,203432,0.363475366,116166,0,0.636524634,0.606711692,0.636524634,0.012173882,0.621802752,0.99,0.01,0,0.99
KENTUCKY 1,287155,0.696334732,199956,0.303665268,87199,0,0.696334732,299001,0.725612958,216959,0.273276678,81710,332,0.725612958,328470,0.749928456,246329,0.250071544,82141,0,0.749928456,0.696334732,0.749928456,0.021910792,0.723958715,0.99,0.01,0,0.99
KENTUCKY 2,282267,0.643036558,181508,0.317220929,89541,11218,0.643036558,251825,1,251825,0,0,0,1,360399,0.709588539,255735,0.262606167,94643,10021,0.709588539,0.643036558,1,0.154987771,0.784208366,0.99,0.005,0.005,0.99
KENTUCKY 3,322656,0.34542051,111452,0.639644079,206385,4819,0.639644079,334494,0.365008042,122093,0.634991958,212401,0,0.634991958,368097,0.373339093,137425,0.626660907,230672,0,0.626660907,0.626660907,0.639644079,0.00537082,0.633765648,0.01,0.99,0,0.99
KENTUCKY 4,299444,0.621271423,186036,0.349761558,104734,8674,0.621271423,327987,0.713205097,233922,0.286794903,94065,0,0.713205097,382509,0.670867875,256613,0.329132125,125896,0,0.670867875,0.621271423,0.713205097,0.037570746,0.668448132,0.99,0.01,0,0.99
KENTUCKY 5,250855,0.77896793,195408,0.22103207,55447,0,0.77896793,221242,1,221242,0,0,0,1,297970,0.842078062,250914,0.157921938,47056,0,0.842078062,0.77896793,1,0.092962001,0.873681997,0.99,0.01,0,0.99
KENTUCKY 6,303000,0.505683168,153222,0.466792079,141438,8340,0.505683168,330827,0.610890284,202099,0.389109716,128728,0,0.610890284,378450,0.573254063,216948,0.409594398,155011,6491,0.573254063,0.505683168,0.610890284,0.043526299,0.563275838,0.85,0.145,0.005,0.85
LOUISIANA 1,290410,0.751833615,218340,0.212468579,61703,10367,0.751833615,326788,0.745575113,243645,0.195187706,63785,19358,0.745575113,374369,0.722095045,270330,0.253039114,94730,9309,0.722095045,0.722095045,0.751833615,0.012801323,0.739834591,0.99,0.005,0.005,0.99
LOUISIANA 2,287354,0.17450949,50146,0.801857639,230417,6791,0.801857639,284269,0,0,1,284269,0,1,316982,0.199191121,63140,0.742376539,235320,18522,0.742376539,0.742376539,1,0.110135394,0.848078059,0.005,0.99,0.005,0.99
LOUISIANA 3,311393,0.772522183,240558,0.215386987,67070,3765,0.772522183,282443,0.781116898,220621,0.199031309,56215,5607,0.781116898,340120,0.677643185,230480,0.294822416,100275,9365,0.677643185,0.677643185,0.781116898,0.046883665,0.743760755,0.99,0.005,0.005,0.99
LOUISIANA 4,249531,0.752988607,187894,0,0,61637,0.752988607,268761,0.805697255,216540,0.173310116,46579,5642,0.805697255,306578,0.667392964,204608,0.332607036,101970,0,0.667392964,0.667392964,0.805697255,0.056992098,0.742026275,0.99,0.01,0,0.99
LOUISIANA 5,260216,0.778337996,202536,0,0,57680,0.778337996,255662,1,255662,0,0,0,1,435090,0.77115999,335524,0.22884001,99566,0,0.77115999,0.77115999,1,0.106224771,0.849832662,0.98,0.02,0,0.98
LOUISIANA 6,306713,0.794074591,243553,0,0,63160,0.794074591,331098,0.72810769,241075,0.239210143,79202,10821,0.72810769,373996,0.710451449,265706,0.255459951,95541,12749,0.710451449,0.710451449,0.794074591,0.035987968,0.744211243,0.99,0.005,0.005,0.99
MAINE 1,380715,0.337365221,128440,0.620839736,236363,15912,0.620839736,406942,0.404404067,164569,0.559160765,227546,14827,0.559160765,447981,0.36833705,165008,0.604945299,271004,11969,0.604945299,0.559160765,0.620839736,0.026147343,0.594981933,0.01,0.99,0,0.99
MAINE 2,343908,0.399938356,137542,0.556707026,191456,14910,0.556707026,364886,0.528597973,192878,0.435974524,159081,12927,0.528597973,380324,0.46073348,175228,0.520540381,197974,7122,0.520540381,0.520540381,0.556707026,0.015502938,0.535281794,0.04,0.96,0,0.96
MARYLAND 1,337760,0.634189957,214204,0.318776646,107670,15886,0.634189957,362097,0.669914415,242574,0.286171937,103622,15901,0.669914415,395524,0.634350886,250901,0.363763008,143877,746,0.634350886,0.634189957,0.669914415,0.016802868,0.646151753,0.99,0.01,0,0.99
MARYLAND 2,295940,0.311113739,92071,0.655835642,194088,9781,0.655835642,309480,0.331449528,102577,0.620986817,192183,14720,0.620986817,332026,0.3203213,106355,0.677163837,224836,835,0.677163837,0.620986817,0.677163837,0.023154529,0.651328765,0.01,0.99,0,0.99
MARYLAND 3,319859,0.295595872,94549,0.668253824,213747,11563,0.668253824,339675,0.338700228,115048,0.631898138,214640,9987,0.631898138,373206,0.300415856,112117,0.69762544,260358,731,0.69762544,0.631898138,0.69762544,0.026883506,0.665925801,0.01,0.99,0,0.99
MARYLAND 4,311512,0.207247233,64560,0.771671717,240385,6567,0.771671717,320650,0.21415874,68670,0.740686106,237501,14479,0.740686106,354529,0.202158357,71671,0.795757188,282119,739,0.795757188,0.740686106,0.795757188,0.022541424,0.76937167,0.01,0.99,0,0.99
MARYLAND 5,343820,0.277095573,95271,0.694020127,238618,9931,0.694020127,360634,0.293735477,105931,0.673782838,242989,11714,0.673782838,398839,0.309711437,123525,0.687520528,274210,1104,0.687520528,0.673782838,0.694020127,0.008436144,0.685107831,0.01,0.99,0,0.99
MARYLAND 6,309549,0.378980388,117313,0.58769694,181921,10315,0.58769694,331973,0.400878987,133081,0.559593702,185770,13122,0.559593702,366434,0.391882303,143599,0.588209609,215540,7295,0.588209609,0.559593702,0.588209609,0.013370469,0.578500084,0.015,0.98,0.005,0.98
MARYLAND 7,323818,0.208157051,67405,0.76515203,247770,8643,0.76515203,318912,0.218104054,69556,0.748915061,238838,10518,0.748915061,330998,0.280439761,92825,0.716270189,237084,1089,0.716270189,0.716270189,0.76515203,0.020327215,0.74344576,0.01,0.99,0,0.99
MARYLAND 8,343256,0.329296502,113033,0.63372818,217531,12692,0.63372818,364324,0.342143257,124651,0.605661444,220657,19016,0.605661444,402614,0.31582856,127157,0.682330967,274716,741,0.682330967,0.605661444,0.682330967,0.03167226,0.64057353,0.01,0.99,0,0.99
MASSACHUSETTS 1,336555,0,0,0.778285867,261936,74619,0.778285867,349676,0,0,0.67434711,235803,113873,0.67434711,372716,0,0,0.738836004,275376,97340,0.738836004,0.67434711,0.778285867,0.042841276,0.73048966,0,0.99,0.01,0.99
MASSACHUSETTS 2,342736,0,0,0.756433523,259257,83479,0.756433523,363197,0,0,0.758505715,275487,87710,0.758505715,394084,0.335512226,132220,0.634012038,249854,12010,0.634012038,0.634012038,0.758505715,0.05820461,0.716317092,0.01,0.99,0,0.99
MASSACHUSETTS 3,335111,0.32637544,109372,0.632981311,212119,13620,0.632981311,360124,0.298561051,107519,0.657309704,236713,15892,0.657309704,388210,0,0,0.739022694,286896,101314,0.739022694,0.632981311,0.739022694,0.045354968,0.676437903,0,1,0,1
MASSACHUSETTS 4,373114,0.348247453,129936,0.593124353,221303,21875,0.593124353,395304,0.285995082,113055,0.672452088,265823,16426,0.672452088,434533,0.369302216,160474,0.577866353,251102,22957,0.577866353,0.577866353,0.672452088,0.041462375,0.614480931,0.01,0.99,0,0.99
MASSACHUSETTS 5,364201,0.227742373,82944,0.706999706,257490,23767,0.706999706,385455,0,0,0.740958088,285606,99849,0.740958088,413371,0.245181689,101351,0.71225848,294427,17593,0.71225848,0.706999706,0.740958088,0.014923858,0.720072091,0.01,0.99,0,0.99
MASSACHUSETTS 6,389852,0.453023199,176612,0.464129978,180942,32298,0.464129978,415749,0,0,0.743051697,308923,106826,0.743051697,452574,0.332973171,150695,0.632773867,286377,15502,0.632773867,0.464129978,0.743051697,0.114697325,0.613318514,0.005,0.99,0.005,0.99
MASSACHUSETTS 7,285134,0,0,0.739280479,210794,74340,0.739280479,309645,0,0,0.818207948,253354,56291,0.818207948,326837,0,0,0.818028559,267362,59475,0.818028559,0.739280479,0.818207948,0.037164555,0.791838995,0,1,0,1
MASSACHUSETTS 8,371694,0.221262652,82242,0.710258976,263999,25453,0.710258976,396009,0.259448649,102744,0.68437586,271019,22246,0.68437586,433545,0,0,0.71720352,310940,122605,0.71720352,0.68437586,0.71720352,0.014125696,0.703946119,0,1,0,1
MASSACHUSETTS 9,385799,0.302051068,116531,0.551463327,212754,56514,0.551463327,403642,0.316624633,127803,0.524697628,211790,64049,0.524697628,442135,0.348900223,154261,0.588648264,260262,27612,0.588648264,0.524697628,0.588648264,0.026222988,0.554936406,0.01,0.99,0,0.99
MICHIGAN 1,347037,0.481389592,167060,0.475969421,165179,14798,0.481389592,360271,0.548967305,197777,0.400626195,144334,18160,0.548967305,416219,0.616456721,256581,0.368382991,153328,6310,0.616456721,0.481389592,0.616456721,0.055140928,0.548937873,0.99,0.005,0.005,0.99
