state/district,TOTAL 2012,Republican % 2012,REPUBLICAN 2012,Democrat % 2012,DEMOCRAT 2012,OTHER 2012,Comp. 2012,TOTAL 2016,Republican % 2016,REPUBLICAN 2016,Democrat % 2010,DEMOCRAT 2016,OTHER 2016,Comp. 2016,TOTAL 2020,Republican % 2020,REPUBLICAN 2020,Democrat % 2020,DEMOCRAT 2020,OTHER 2020,Comp. 2020,Min(Comp),Max(Comp),StdDev(Comp),Mean(Comp),Prediction(538) Republican,Prediction(538) Democrat,Prediction(538) Other,Predicted_Comp
CALIFORNIA 10,209199,0.527081869,110265,0.472918131,98934,0,0.527081869,241141,0.517004574,124671,0.482995426,116470,0,0.517004574,302494,0.448369224,135629,0.551630776,166865,0,0.551630776,0.517004574,0.551630776,0.014541796,0.53190574,0.08,0.92,0,0.92
CALIFORNIA 11,287879,0.302682724,87136,0.697317276,200743,0,0.697317276,298209,0.27947178,83341,0.72052822,214868,0,0.72052822,371356,0.270072383,100293,0.729927617,271063,0,0.729927617,0.697317276,0.729927617,0.013705356,0.715924371,0.01,0.99,0,0.99
CALIFORNIA 12,298187,0.149161432,44478,0.850838568,253709,0,0.850838568,338845,0,0,0.808732606,274035,64810,0.808732606,362950,0,0,1,362950,0,1,0.808732606,1,0.082060452,0.886523725,0,1,0,1
CALIFORNIA 13,288582,0,0,0.867815733,250436,38146,0.867815733,322871,0.092154452,29754,0.907845548,293117,0,0.907845548,362818,0.09634307,34955,0.90365693,327863,0,0.90365693,0.867815733,0.907845548,0.017964539,0.893106071,0.01,0.99,0,0.99
CALIFORNIA 14,258283,0.210834627,54455,0.789165373,203828,0,0.789165373,286447,0.191368735,54817,0.808631265,231630,0,0.808631265,351005,0.207133802,72705,0.792866198,278300,0,0.792866198,0.789165373,0.808631265,0.008440342,0.796887612,0.01,0.99,0,0.99
CALIFORNIA 15,231034,0,0,1,231034,0,1,269197,0.262332047,70619,0.737667953,198578,0,0.737667953,342701,0.290953338,99710,0.709046662,242991,0,0.709046662,0.709046662,1,0.13093303,0.815571538,0.01,0.99,0,0.99
CALIFORNIA 16,147450,0.425913869,62801,0.574086131,84649,0,0.574086131,167956,0.419651575,70483,0.580348425,97473,0,0.580348425,216729,0.406216981,88039,0.593783019,128690,0,0.593783019,0.574086131,0.593783019,0.008217002,0.582739192,0.01,0.99,0,0.99
CALIFORNIA 17,216728,0.264552804,57336,0.735447196,159392,0,0.735447196,233192,0,0,1,233192,0,1,297336,0.286541152,85199,0.713458848,212137,0,0.713458848,0.713458848,1,0.130203902,0.816302015,0.01,0.99,0,0.99
CALIFORNIA 18,301934,0.29510754,89103,0.70489246,212831,0,0.70489246,323930,0.288549995,93470,0.711450005,230460,0,0.711450005,344139,0,0,1,344139,0,1,0.70489246,1,0.137595446,0.805447488,0,1,0,1
CALIFORNIA 19,221613,0.267642241,59313,0.732357759,162300,0,0.732357759,245863,0.260555675,64061,0.739444325,181802,0,0.739444325,313027,0.283176851,88642,0.716823149,224385,0,0.716823149,0.716823149,0.739444325,0.009447287,0.729541744,0.01,0.99,0,0.99
